,gain_mean_norm
atr_14,0.06775388378342989
vix_ret,0.03955830243292805
dxy_ret,0.03895832108866989
rv_1w,0.038718659687357146
spx_ret,0.03663139881095981
ma_90d,0.03590547377914026
dist_ma_90d,0.03455946290462618
vix_z30,0.03340047990940739
fg_z30,0.032861220099145036
ix_vix_spx,0.028069293939640763
ix_dxy_dist30,0.027992738789274076
dxy_z30,0.027813477433082934
net_sentiment,0.025273492312754123
drawdown_30d,0.02522581828560207
ma_7d,0.024889112367793637
net_sentiment_z30,0.02436123385994226
funding_ema8d,0.02367194541155628
trend_strength,0.0228281817391674
ix_fgchg_ret1w,0.022382693328692103
rsi_14,0.022248075295369034
news_count,0.019627983861709494
rv_1d,0.019616425022989478
dist_ma_30d,0.01945051037154029
news_count_z30,0.019206092481987045
dist_ma_7d,0.019200369961886152
ma_30d,0.01915439104541062
ret_1w,0.017487573648762834
fg_chg7,0.016296300949791256
fg,0.0148063272166625
funding_z90,0.014590448586330091
rv_4h,0.013793214611619977
ix_funding_vol,0.013197539697077645
rsi_1d,0.01024951917183561
basis_z30d,0.009700394602418207
ret_1d,0.00956312009151886
vol_z7d,0.009521901460055496
vol_z30d,0.00845378535107383
taker_buy_volume,0.008159459198702573
ix_rsi_bb,0.008014740681748166
perp_taker_buy_ratio,0.007858757248481877
basis,0.007822869999617425
taker_buy_quote_volume,0.007750778410666848
flow_div_perp_spot,0.007700390618445569
funding,0.007696694374018277
ret_4h,0.007694928498715097
basis_z7d,0.007535250978310445
ix_funding_ret1d,0.007124271458586571
taker_buy_ratio_z7d,0.0056083062315335315
rsi_halfday,0.005205977744617231
taker_buy_ratio_z30d,0.004405428972847899
bb_pos,0.0043820885699574035
taker_buy_ratio,0.003724196582965157
ret_1,0.0036532405519563277
hours_since_funding,0.0032367402201661836
ofi_proxy,0.002023462178907095
ret_1h,0.0009404379974730912
vol_high,0.0009203219095483965
is_uptrend_short,0.0008871230523766859
is_uptrend_long,0.00046873748960663886
logret_1,0.00016663363954380674
