mid_thr,long_thr,n_sig,win_rate,avg_pnl,tot_pnl,sharpe,capital_final,return_pct,max_dd
0.3,0.3,816,0.5453431372549019,0.0016306795798501545,1.3306345371577262,1.148788724985518,3102.9950423762025,210.29950423762025,-58.49992531029391
0.3,0.35,764,0.5484293193717278,0.0017242664275906824,1.3173395506792813,1.1795957496967522,3104.6600561798523,210.46600561798522,-58.46704447656783
0.3,0.4,711,0.549929676511955,0.0018703684135462104,1.3298319420313556,1.2621239811434928,3207.9604675045257,220.79604675045258,-51.544641781951526
0.3,0.45,646,0.5495356037151703,0.001610918571852646,1.0406533974168093,1.05674782352921,2452.8379198467424,145.28379198467425,-50.61542430910092
0.3,0.5,572,0.5472027972027972,0.0014277219341820673,0.8166569463521425,0.8993055184578603,2003.3146778306766,100.33146778306765,-52.46440027570101
0.35,0.3,700,0.5414285714285715,0.0016980002081151404,1.1886001456805984,1.1343740822028516,2790.798745297625,179.0798745297625,-49.7976621208269
0.35,0.35,658,0.547112462006079,0.0018688653586048246,1.2297134059619745,1.2188613927910457,2941.970486656864,194.19704866568642,-49.07637285283649
0.35,0.4,625,0.5504,0.0020463567517826553,1.2789729698641596,1.320627311570882,3126.8309924170744,212.68309924170742,-49.0763728528365
0.35,0.45,576,0.5520833333333334,0.0019344511068687563,1.1142438375564037,1.2139838246813486,2689.902763161391,168.9902763161391,-50.61542430910092
0.35,0.5,520,0.551923076923077,0.0017502865414043478,0.9101490015302608,1.0745107289098679,2234.4683882983104,123.44683882983105,-50.5951627398335
0.4,0.3,588,0.5391156462585034,0.0012733832348771229,0.7487493421077482,0.7864559885130651,1849.7483725944414,84.97483725944414,-46.77456062802943
0.4,0.35,559,0.5420393559928444,0.001380050427672581,0.7714481890689728,0.8353056030088057,1907.080531313182,90.7080531313182,-48.27820736509697
0.4,0.4,537,0.5437616387337058,0.0015060352491328827,0.808740928784358,0.9030802599494927,1994.3777689527267,99.43777689527266,-48.278207365096975
0.4,0.45,506,0.549407114624506,0.0014320866651861388,0.7246358525841862,0.8400737408561076,1849.2594755408868,84.9259475540887,-49.84138156801287
0.4,0.5,470,0.5531914893617021,0.00149961882185331,0.7048208462710558,0.8686314694537878,1835.9918202567117,83.59918202567115,-49.820802423462204
0.45,0.3,503,0.536779324055666,0.0008162041370099354,0.4105506809159975,0.4728054649944658,1349.1770619274805,34.91770619274806,-49.403648216926285
0.45,0.35,485,0.5381443298969072,0.0008193538650186581,0.3973866245340492,0.46650465796458457,1337.1282850423631,33.71282850423631,-51.1057668787414
0.45,0.4,474,0.540084388185654,0.0009343956670562701,0.44290354618467204,0.5322919476768476,1406.2657865445885,40.62657865445885,-47.23799199263556
0.45,0.45,451,0.5432372505543237,0.0008473314365771461,0.38214647789629286,0.47257665866496024,1330.899923276413,33.08999232764129,-48.03765620702544
0.45,0.5,420,0.5452380952380952,0.0008405274774917013,0.3530215405465146,0.46667447056101224,1308.3611901503116,30.83611901503116,-49.483273190862775
0.5,0.3,435,0.5287356321839081,0.00033520980874595605,0.1458162668044909,0.18305896240577457,1053.8708251794728,5.387082517947284,-55.08243440953478
0.5,0.35,423,0.5319148936170213,0.000383582192333246,0.16225526735696305,0.20701957353677075,1074.536395053611,7.453639505361087,-55.46645982509861
0.5,0.4,416,0.53125,0.0003481671313957817,0.1448375266606452,0.187467542428828,1058.6971993554394,5.869719935543927,-52.89585377729027
0.5,0.45,402,0.5323383084577115,0.0001911803327146108,0.07685449375127354,0.10194710798333388,993.274401942642,-0.6725598057357951,-51.709159283987205
0.5,0.5,378,0.5370370370370371,0.0003014862000650546,0.11396178362459064,0.16007175670526588,1040.191603445728,4.019160344572814,-53.33765548035081
